Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Helle Bonnesen;71
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Lasse Vogel Andersen;5
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Pernille Birch;6
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Rasmus Bjergegaard;5
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Nikolaj Bøgh;23
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Line Ervolder;10
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Helene Fagerhøj;39
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Carina Høedt;12
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Anders Havelund Krøyer;4
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Niels Peder Ravn;8
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Anders Storgaard;52
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Mia Tang;11
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Partiliste;637
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Lisbeth Bech-Nielsen;84
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Carl Valentin;31
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Nanna Bonde;71
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Sadek Al-Amood;15
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Halime Oguz;27
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Kasper Nordborg Kiær;10
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Rune Palm;8
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Cecilie Louise Balbay Holdt;13
1. Østerbro;3. 1. Syd;F;SF - Socialistisk Folkeparti;Mikkel Sammy Christensen;9
